Twitter_ID,Twitter_User,Creation_Date,Follower_Count,Friend_Count,Post_Count,Liked_Count,List_Count,Language,is_protected,is_verified
9.96E+17,proudkingtan,1526303928,129,153,1937,134,0,tr,0,0
9.96E+17,jiminsshibaebae,1526303927,496,499,3049,5485,0,en,0,0
9.96E+17,fedealan96,1526303926,39,201,283,226,0,es,0,0
9.96E+17,SevillaAlix,1526303923,3,120,1,5,0,en,0,0
9.96E+17,memento_001,1526303903,157,148,449,2546,0,ko,0,0
9.96E+17,Sunie40496757,1526303900,0,18,229,245,0,en,0,0
9.96E+17,SavingLuciferSP,1526303897,166,114,3028,5037,0,es,0,0
9.96E+17,_venusya,1526303894,15,22,363,102,1,en,0,0
9.96E+17,malatjie_ntsako,1526303877,48,118,237,295,0,en,0,0
9.96E+17,jma_ox,1526303876,40,76,79,8,0,en,0,0
9.96E+17,Lq5lJoJMidzdTz0,1526303874,3263,5001,6438,6413,0,en,0,0
9.96E+17,manayer080,1526303870,57,60,99,21,0,en,0,0
9.96E+17,Hoseok85402601,1526303869,145,257,502,867,0,en,0,0
9.96E+17,FlyWithIM960126,1526303853,0,2,23,2,0,en,0,0
9.96E+17,urajoe_555,1526303842,16,22,139,93,0,ja,0,0
9.96E+17,ugh752,1526303839,27,39,523,13,0,en,0,0
9.96E+17,gun_man_twt,1526303804,114,110,6767,102,0,en,0,0
9.96E+17,roakiss_,1526303803,115,68,42,57,4,en,0,0
9.96E+17,Amanda71663860,1526303788,36,94,88,500,0,pt,0,0
9.96E+17,XWohan,1526303787,33,42,1670,2117,1,tr,0,0
9.96E+17,Gustavo93030323,1526303786,7,50,13,4,0,en,0,0
9.96E+17,Almuhana_Hasan,1526305766,108,71,150,1,0,en,0,0
9.96E+17,notearsdemi,1526305752,301,235,1261,1534,2,en,0,0
9.96E+17,SolehMr1,1526305747,3,35,35,47,0,en,0,0
9.96E+17,XoLing2,1526305741,0,0,18,0,0,en,0,0
9.96E+17,theanirev1,1526305735,51,0,6961,276,0,en-gb,0,0
9.96E+17,cr_hedez,1526305732,0,6,11,13,0,en,0,0
9.96E+17,Bullyena,1526305731,574,891,700,624,3,en,0,0
9.96E+17,ZexLiz,1526305729,15,203,311,407,0,en,0,0
9.96E+17,Negaaa318__,1526305713,83,199,123,54,0,en,0,0
9.96E+17,Subhash81687413,1526305712,11,82,162,822,0,en,0,0
9.96E+17,AnneGiuliano4,1526305682,12,66,18,3,0,en,0,0
9.96E+17,ootanisyouheiso,1526305671,436,1580,747,126,1,ja,0,0
9.96E+17,Efrain99877518,1526305667,1,84,81,438,0,es,0,0
9.96E+17,AmrAsad11,1526305665,2,74,0,4,0,en,0,0
9.96E+17,Leonard17944898,1526305662,583,1340,1180,1440,0,pt,0,0
9.96E+17,Patali19851,1526305660,4,103,10,6,0,en,0,0
9.96E+17,satomikamiya1,1526305657,130,159,140,77,0,en,0,0
9.96E+17,Victori29284622,1526305655,163,335,2482,1130,0,en,0,0
9.96E+17,Criisjimeneez,1526305654,53,103,184,203,0,es,0,0
9.96E+17,1ove__z,1526305653,941,27,165,0,14,ko,0,0
9.96E+17,hrtjsjty,1526305649,162,194,94,0,0,ja,0,0
9.96E+17,SyedNajum8,1526305648,1,34,2,0,0,en,0,0
9.96E+17,eline_mo,1526305647,76,560,103,3060,0,ja,0,0
9.96E+17,GMSocHealth,1526305633,21,80,20,20,0,en,0,0
9.96E+17,a95552112,1526305616,29,34,69,164,1,ja,0,0
9.96E+17,2uLHVW3hLbHotbV,1526305609,61,67,1541,470,2,en,0,0
9.96E+17,i_m_cumtributer,1526305609,2246,335,1620,1769,11,en,0,0
9.96E+17,CarlLobrio,1526305606,15,148,22,52,0,en,0,0
9.96E+17,eroreginsu,1526305584,209,309,580,0,0,ja,0,0
